Driver,Team,Compound,TyreLife,FreshTyre,S1,S2,S3,SpeedI1,SpeedI2,SpeedFL,SpeedST,LapTimeSeconds,SessionType
VER,Red Bull Racing,SOFT,2.0,True,28.787,38.58,22.664,242.0,270.0,288.0,316.0,90.031,Q
VER,Red Bull Racing,SOFT,5.0,False,28.822,38.767,22.571,241.0,271.0,286.0,317.0,90.16,Q
VER,Red Bull Racing,SOFT,2.0,True,28.509,38.387,22.478,242.0,271.0,287.0,327.0,89.374,Q
VER,Red Bull Racing,SOFT,2.0,True,28.686,38.361,22.374,241.0,272.0,286.0,320.0,89.421,Q
VER,Red Bull Racing,SOFT,2.0,True,28.535,38.269,22.375,242.0,271.0,288.0,320.0,89.179,Q
LEC,Ferrari,MEDIUM,2.0,True,29.522,39.009,22.729,240.0,273.0,283.0,313.0,91.26,Q
LEC,Ferrari,SOFT,2.0,True,29.067,38.589,22.587,243.0,272.0,286.0,316.0,90.243,Q
LEC,Ferrari,SOFT,5.0,False,29.014,38.507,22.573,242.0,273.0,287.0,316.0,90.094,Q
LEC,Ferrari,SOFT,2.0,True,28.843,38.059,22.263,243.0,274.0,288.0,317.0,89.165,Q
LEC,Ferrari,SOFT,3.0,False,28.863,38.344,22.273,243.0,273.0,288.0,317.0,89.48,Q
LEC,Ferrari,SOFT,2.0,True,28.762,38.276,22.369,242.0,273.0,287.0,316.0,89.407,Q
RUS,Mercedes,SOFT,2.0,True,29.102,38.727,22.521,242.0,269.0,286.0,311.0,90.35,Q
RUS,Mercedes,SOFT,7.0,False,29.246,38.861,22.591,240.0,269.0,285.0,314.0,90.698,Q
RUS,Mercedes,SOFT,2.0,True,28.954,38.61,22.358,242.0,270.0,286.0,316.0,89.922,Q
RUS,Mercedes,SOFT,2.0,True,28.8,38.503,22.3,243.0,271.0,287.0,316.0,89.603,Q
RUS,Mercedes,SOFT,2.0,True,28.8,38.421,22.264,243.0,271.0,286.0,311.0,89.485,Q
SAI,Ferrari,MEDIUM,2.0,True,29.76,38.878,22.57,238.0,273.0,284.0,311.0,91.208,Q
SAI,Ferrari,SOFT,2.0,True,29.008,38.409,22.492,242.0,273.0,284.0,314.0,89.909,Q
SAI,Ferrari,SOFT,5.0,False,29.068,38.827,22.53,242.0,273.0,287.0,317.0,90.425,Q
SAI,Ferrari,SOFT,2.0,True,28.89,38.346,22.337,242.0,273.0,288.0,316.0,89.573,Q
SAI,Ferrari,SOFT,2.0,True,28.851,38.404,22.353,242.0,273.0,285.0,315.0,89.608,Q
SAI,Ferrari,SOFT,2.0,True,28.85,38.298,22.359,242.0,273.0,284.0,320.0,89.507,Q
PER,Red Bull Racing,SOFT,2.0,True,28.939,38.598,22.684,241.0,271.0,280.0,317.0,90.221,Q
PER,Red Bull Racing,SOFT,5.0,False,28.924,38.874,22.702,240.0,270.0,285.0,318.0,90.5,Q
PER,Red Bull Racing,SOFT,2.0,True,28.738,38.653,22.541,241.0,271.0,287.0,321.0,89.932,Q
PER,Red Bull Racing,SOFT,4.0,False,28.817,38.687,22.526,241.0,271.0,287.0,320.0,90.03,Q
PER,Red Bull Racing,SOFT,2.0,True,28.804,38.323,22.41,241.0,271.0,288.0,320.0,89.537,Q
ALO,Aston Martin,SOFT,2.0,True,28.889,38.697,22.593,243.0,267.0,287.0,313.0,90.179,Q
ALO,Aston Martin,SOFT,2.0,True,29.088,38.642,22.406,242.0,268.0,286.0,318.0,90.136,Q
ALO,Aston Martin,SOFT,2.0,True,28.909,38.518,22.374,243.0,267.0,287.0,319.0,89.801,Q
ALO,Aston Martin,SOFT,2.0,True,28.83,38.236,22.476,243.0,268.0,284.0,314.0,89.542,Q
NOR,McLaren,SOFT,2.0,True,28.983,38.576,22.584,243.0,273.0,287.0,309.0,90.143,Q
NOR,McLaren,SOFT,3.0,False,28.836,38.585,22.52,242.0,273.0,287.0,313.0,89.941,Q
NOR,McLaren,SOFT,4.0,False,29.006,38.307,22.366,244.0,273.0,286.0,313.0,89.679,Q
NOR,McLaren,SOFT,2.0,True,29.045,38.207,22.362,242.0,273.0,286.0,312.0,89.614,Q
PIA,McLaren,SOFT,2.0,True,29.243,38.78,22.669,243.0,271.0,286.0,311.0,90.692,Q
PIA,McLaren,SOFT,2.0,True,29.243,38.791,22.497,241.0,273.0,287.0,311.0,90.531,Q
PIA,McLaren,SOFT,5.0,False,29.082,38.889,22.653,240.0,273.0,287.0,314.0,90.624,Q
PIA,McLaren,SOFT,2.0,True,28.955,38.692,22.475,242.0,273.0,287.0,314.0,90.122,Q
PIA,McLaren,SOFT,5.0,False,29.162,38.852,22.637,242.0,271.0,286.0,315.0,90.651,Q
PIA,McLaren,SOFT,2.0,True,28.901,38.343,22.439,243.0,274.0,286.0,312.0,89.683,Q
HAM,Mercedes,SOFT,2.0,True,29.108,38.989,22.709,242.0,269.0,284.0,310.0,90.806,Q
HAM,Mercedes,SOFT,2.0,True,29.019,38.894,22.538,242.0,269.0,285.0,312.0,90.451,Q
HAM,Mercedes,SOFT,5.0,False,29.029,38.777,22.557,241.0,270.0,286.0,316.0,90.363,Q
HAM,Mercedes,SOFT,2.0,True,28.803,38.546,22.369,241.0,272.0,286.0,316.0,89.718,Q
HAM,Mercedes,SOFT,5.0,False,29.175,38.747,22.523,242.0,271.0,286.0,314.0,90.445,Q
HAM,Mercedes,SOFT,2.0,True,28.881,38.422,22.407,242.0,270.0,287.0,315.0,89.71,Q
HUL,Haas F1 Team,SOFT,2.0,True,29.042,38.854,22.727,243.0,273.0,288.0,316.0,90.623,Q
HUL,Haas F1 Team,SOFT,2.0,True,28.838,39.143,22.585,242.0,273.0,288.0,319.0,90.566,Q
HUL,Haas F1 Team,SOFT,5.0,False,29.225,39.153,22.619,242.0,274.0,288.0,314.0,90.997,Q
HUL,Haas F1 Team,SOFT,2.0,True,28.834,38.636,22.381,243.0,274.0,288.0,317.0,89.851,Q
HUL,Haas F1 Team,SOFT,5.0,False,29.028,38.891,22.583,243.0,273.0,287.0,317.0,90.502,Q
HUL,Haas F1 Team,SOFT,5.0,False,28.993,38.89,22.733,242.0,274.0,288.0,318.0,90.616,Q
TSU,RB,SOFT,2.0,True,29.187,38.867,22.827,240.0,269.0,285.0,310.0,90.881,Q
TSU,RB,SOFT,2.0,True,28.941,38.875,22.665,240.0,271.0,285.0,313.0,90.481,Q
TSU,RB,SOFT,5.0,False,29.154,39.16,22.788,240.0,270.0,284.0,314.0,91.102,Q
TSU,RB,SOFT,2.0,True,28.821,38.727,22.581,241.0,271.0,286.0,316.0,90.129,Q
STR,Aston Martin,SOFT,2.0,True,29.108,39.008,22.748,243.0,268.0,285.0,313.0,90.864,Q
STR,Aston Martin,SOFT,2.0,True,28.651,38.609,22.705,243.0,268.0,284.0,318.0,89.965,Q
STR,Aston Martin,SOFT,5.0,False,29.211,38.977,22.794,242.0,267.0,285.0,317.0,90.982,Q
STR,Aston Martin,SOFT,2.0,True,28.65,38.856,22.694,243.0,267.0,284.0,317.0,90.2,Q
ALB,Williams,SOFT,2.0,True,29.194,38.75,22.748,242.0,270.0,286.0,315.0,90.692,Q
ALB,Williams,SOFT,2.0,True,28.858,38.875,22.664,241.0,271.0,288.0,321.0,90.397,Q
ALB,Williams,SOFT,5.0,False,29.293,39.179,22.68,241.0,272.0,288.0,320.0,91.152,Q
ALB,Williams,SOFT,2.0,True,28.866,38.802,22.553,241.0,271.0,288.0,321.0,90.221,Q
RIC,RB,SOFT,2.0,True,29.205,38.898,22.922,242.0,270.0,285.0,310.0,91.025,Q
RIC,RB,SOFT,2.0,True,29.074,38.807,22.681,241.0,271.0,286.0,314.0,90.562,Q
RIC,RB,SOFT,5.0,False,29.116,39.236,22.774,240.0,271.0,286.0,314.0,91.126,Q
RIC,RB,SOFT,2.0,True,28.884,38.802,22.592,241.0,271.0,287.0,316.0,90.278,Q
MAG,Haas F1 Team,SOFT,2.0,True,29.196,39.255,22.801,242.0,273.0,288.0,316.0,91.252,Q
MAG,Haas F1 Team,SOFT,2.0,True,29.037,38.952,22.657,242.0,274.0,286.0,319.0,90.646,Q
MAG,Haas F1 Team,SOFT,5.0,False,29.221,39.235,22.714,242.0,274.0,288.0,318.0,91.17,Q
MAG,Haas F1 Team,SOFT,2.0,True,28.884,38.976,22.669,243.0,274.0,286.0,319.0,90.529,Q
BOT,Kick Sauber,SOFT,2.0,True,29.146,39.106,22.825,243.0,272.0,286.0,314.0,91.077,Q
BOT,Kick Sauber,SOFT,2.0,True,29.063,39.025,22.668,243.0,273.0,287.0,318.0,90.756,Q
ZHO,Kick Sauber,SOFT,2.0,True,29.265,39.152,22.658,243.0,273.0,286.0,313.0,91.075,Q
ZHO,Kick Sauber,SOFT,2.0,True,29.154,38.944,22.659,242.0,272.0,287.0,312.0,90.757,Q
SAR,Williams,SOFT,2.0,True,28.991,39.119,22.66,241.0,270.0,287.0,318.0,90.77,Q
SAR,Williams,SOFT,2.0,True,29.174,39.207,22.747,238.0,270.0,289.0,320.0,91.128,Q
OCO,Alpine,MEDIUM,2.0,True,29.755,39.305,22.93,239.0,269.0,281.0,311.0,91.99,Q
OCO,Alpine,SOFT,2.0,True,29.39,38.997,22.874,238.0,270.0,283.0,314.0,91.261,Q
OCO,Alpine,SOFT,2.0,True,29.142,38.934,22.717,241.0,270.0,283.0,315.0,90.793,Q
GAS,Alpine,MEDIUM,2.0,True,29.87,39.498,23.066,240.0,268.0,281.0,309.0,92.434,Q
GAS,Alpine,SOFT,2.0,True,29.435,38.857,22.989,241.0,269.0,282.0,314.0,91.281,Q
GAS,Alpine,SOFT,2.0,True,29.148,38.971,22.829,240.0,270.0,285.0,316.0,90.948,Q
VER,Red Bull Racing,SOFT,5.0,False,30.916,41.661,23.719,232.0,248.0,276.0,287.0,96.296,R
VER,Red Bull Racing,SOFT,6.0,False,30.999,41.966,23.788,231.0,243.0,276.0,290.0,96.753,R
VER,Red Bull Racing,SOFT,7.0,False,30.931,41.892,23.824,233.0,253.0,276.0,290.0,96.647,R
VER,Red Bull Racing,SOFT,8.0,False,31.255,42.056,23.862,231.0,245.0,276.0,289.0,97.173,R
VER,Red Bull Racing,SOFT,9.0,False,31.041,42.187,23.864,231.0,247.0,276.0,296.0,97.092,R
VER,Red Bull Racing,SOFT,10.0,False,31.015,42.118,23.905,232.0,242.0,277.0,291.0,97.038,R
VER,Red Bull Racing,SOFT,11.0,False,31.041,42.077,23.906,231.0,250.0,277.0,291.0,97.024,R
VER,Red Bull Racing,SOFT,12.0,False,31.1,42.166,23.963,231.0,243.0,276.0,292.0,97.229,R
VER,Red Bull Racing,SOFT,13.0,False,30.986,42.009,23.965,232.0,244.0,277.0,293.0,96.96,R
VER,Red Bull Racing,SOFT,14.0,False,30.974,42.142,23.969,232.0,246.0,277.0,292.0,97.085,R
VER,Red Bull Racing,SOFT,15.0,False,30.966,42.091,23.988,234.0,249.0,277.0,292.0,97.045,R
VER,Red Bull Racing,SOFT,16.0,False,30.964,42.055,24.011,233.0,251.0,277.0,292.0,97.03,R
VER,Red Bull Racing,SOFT,17.0,False,30.938,42.042,24.048,233.0,253.0,277.0,293.0,97.028,R
VER,Red Bull Racing,SOFT,18.0,False,30.887,42.058,24.066,232.0,254.0,276.0,293.0,97.011,R
VER,Red Bull Racing,SOFT,19.0,False,31.048,42.032,24.088,233.0,260.0,277.0,292.0,97.168,R
VER,Red Bull Racing,HARD,2.0,True,30.628,41.162,23.493,233.0,248.0,278.0,288.0,95.283,R
VER,Red Bull Racing,HARD,3.0,True,30.585,41.1,23.475,233.0,256.0,278.0,291.0,95.16,R
VER,Red Bull Racing,HARD,4.0,True,30.576,41.24,23.5,235.0,251.0,278.0,293.0,95.316,R
VER,Red Bull Racing,HARD,5.0,True,30.56,41.142,23.502,234.0,254.0,279.0,294.0,95.204,R
VER,Red Bull Racing,HARD,6.0,True,30.553,41.145,23.518,234.0,253.0,279.0,294.0,95.216,R
VER,Red Bull Racing,HARD,7.0,True,30.548,41.257,23.484,234.0,257.0,279.0,294.0,95.289,R
VER,Red Bull Racing,HARD,8.0,True,30.518,41.282,23.542,233.0,250.0,279.0,295.0,95.342,R
VER,Red Bull Racing,HARD,9.0,True,30.522,41.14,23.561,235.0,257.0,279.0,295.0,95.223,R
VER,Red Bull Racing,HARD,10.0,True,30.649,41.338,23.594,230.0,250.0,279.0,294.0,95.581,R
VER,Red Bull Racing,HARD,11.0,True,30.588,41.272,23.617,233.0,258.0,278.0,293.0,95.477,R
VER,Red Bull Racing,HARD,12.0,True,30.679,41.485,23.629,234.0,258.0,279.0,293.0,95.793,R
VER,Red Bull Racing,HARD,13.0,True,30.657,41.47,23.644,234.0,254.0,279.0,294.0,95.771,R
VER,Red Bull Racing,HARD,14.0,True,30.635,41.435,23.609,234.0,260.0,279.0,295.0,95.679,R
VER,Red Bull Racing,HARD,15.0,True,30.669,41.519,23.698,234.0,260.0,279.0,296.0,95.886,R
VER,Red Bull Racing,HARD,16.0,True,30.69,41.459,23.714,233.0,258.0,279.0,295.0,95.863,R
VER,Red Bull Racing,HARD,17.0,True,30.685,41.661,23.787,233.0,261.0,279.0,296.0,96.133,R
VER,Red Bull Racing,HARD,18.0,True,30.727,41.557,23.734,234.0,260.0,279.0,295.0,96.018,R
VER,Red Bull Racing,HARD,19.0,True,30.794,41.561,23.85,234.0,263.0,280.0,297.0,96.205,R
VER,Red Bull Racing,SOFT,2.0,True,29.741,39.916,22.951,239.0,265.0,281.0,299.0,92.608,R
VER,Red Bull Racing,SOFT,3.0,True,31.014,42.023,23.552,234.0,245.0,281.0,275.0,96.589,R
VER,Red Bull Racing,SOFT,4.0,True,30.697,41.281,23.312,237.0,252.0,281.0,292.0,95.29,R
VER,Red Bull Racing,SOFT,5.0,True,30.477,40.996,23.194,237.0,261.0,281.0,294.0,94.667,R
VER,Red Bull Racing,SOFT,6.0,True,30.132,40.772,23.247,237.0,261.0,281.0,296.0,94.151,R
VER,Red Bull Racing,SOFT,7.0,True,30.348,40.805,23.378,237.0,264.0,281.0,293.0,94.531,R
VER,Red Bull Racing,SOFT,8.0,True,30.18,40.825,23.244,237.0,260.0,281.0,295.0,94.249,R
VER,Red Bull Racing,SOFT,9.0,True,30.301,40.682,23.21,235.0,264.0,281.0,297.0,94.193,R
VER,Red Bull Racing,SOFT,10.0,True,30.267,40.704,23.268,235.0,263.0,281.0,295.0,94.239,R
VER,Red Bull Racing,SOFT,11.0,True,30.245,40.738,23.367,235.0,264.0,282.0,297.0,94.35,R
VER,Red Bull Racing,SOFT,12.0,True,30.246,40.804,23.353,235.0,261.0,282.0,298.0,94.403,R
VER,Red Bull Racing,SOFT,13.0,True,30.229,40.928,23.626,236.0,265.0,289.0,298.0,94.783,R
VER,Red Bull Racing,SOFT,14.0,True,30.003,40.834,23.503,236.0,267.0,282.0,314.0,94.34,R
VER,Red Bull Racing,SOFT,15.0,True,30.333,40.919,23.654,235.0,266.0,284.0,299.0,94.906,R
VER,Red Bull Racing,SOFT,16.0,True,30.528,41.382,23.69,237.0,270.0,284.0,300.0,95.6,R
VER,Red Bull Racing,SOFT,17.0,True,30.427,41.227,23.68,236.0,270.0,283.0,301.0,95.334,R
VER,Red Bull Racing,SOFT,18.0,True,30.493,41.22,23.471,236.0,267.0,281.0,296.0,95.184,R
VER,Red Bull Racing,SOFT,19.0,True,30.256,40.87,23.545,236.0,267.0,281.0,297.0,94.671,R
VER,Red Bull Racing,SOFT,20.0,True,30.384,40.91,23.629,236.0,267.0,275.0,296.0,94.923,R
PER,Red Bull Racing,SOFT,5.0,False,30.678,41.867,23.996,234.0,257.0,285.0,302.0,96.541,R
PER,Red Bull Racing,SOFT,6.0,False,30.596,42.478,24.223,231.0,245.0,284.0,315.0,97.297,R
PER,Red Bull Racing,SOFT,7.0,False,30.716,42.623,24.383,233.0,246.0,283.0,314.0,97.722,R
PER,Red Bull Racing,SOFT,8.0,False,30.997,42.754,24.293,227.0,249.0,285.0,320.0,98.044,R
PER,Red Bull Racing,SOFT,9.0,False,30.843,42.702,24.278,226.0,249.0,285.0,320.0,97.823,R
PER,Red Bull Racing,SOFT,10.0,False,31.013,42.682,24.126,232.0,259.0,278.0,316.0,97.821,R
PER,Red Bull Racing,SOFT,11.0,False,31.305,42.428,24.105,232.0,261.0,278.0,302.0,97.838,R
PER,Red Bull Racing,SOFT,12.0,False,31.145,42.395,24.056,228.0,257.0,278.0,302.0,97.596,R
PER,Red Bull Racing,SOFT,13.0,False,31.178,42.322,24.13,229.0,259.0,279.0,300.0,97.63,R
PER,Red Bull Racing,SOFT,14.0,False,31.054,42.473,24.309,233.0,258.0,282.0,300.0,97.836,R
PER,Red Bull Racing,HARD,2.0,True,30.063,41.855,23.688,234.0,263.0,279.0,320.0,95.606,R
PER,Red Bull Racing,HARD,3.0,True,30.785,41.795,24.235,229.0,255.0,283.0,299.0,96.815,R
PER,Red Bull Racing,HARD,4.0,True,30.569,41.558,23.656,228.0,256.0,277.0,316.0,95.783,R
PER,Red Bull Racing,HARD,5.0,True,30.922,41.823,23.709,228.0,258.0,278.0,294.0,96.454,R
PER,Red Bull Racing,HARD,6.0,True,30.803,41.835,23.673,235.0,259.0,278.0,291.0,96.311,R
PER,Red Bull Racing,HARD,7.0,True,30.702,41.633,23.703,236.0,254.0,278.0,298.0,96.038,R
PER,Red Bull Racing,HARD,8.0,True,30.918,41.686,23.674,230.0,260.0,278.0,298.0,96.278,R
PER,Red Bull Racing,HARD,9.0,True,30.849,41.61,23.706,230.0,263.0,277.0,298.0,96.165,R
PER,Red Bull Racing,HARD,10.0,True,30.824,41.536,23.677,232.0,263.0,278.0,295.0,96.037,R
PER,Red Bull Racing,HARD,11.0,True,30.84,41.729,23.68,230.0,262.0,279.0,299.0,96.249,R
PER,Red Bull Racing,HARD,12.0,True,30.792,41.687,23.732,235.0,261.0,278.0,299.0,96.211,R
PER,Red Bull Racing,HARD,13.0,True,30.878,41.719,23.747,233.0,260.0,279.0,297.0,96.344,R
PER,Red Bull Racing,HARD,14.0,True,30.938,41.666,23.743,232.0,263.0,278.0,298.0,96.347,R
PER,Red Bull Racing,HARD,15.0,True,30.853,41.543,23.837,235.0,263.0,279.0,299.0,96.233,R
PER,Red Bull Racing,HARD,16.0,True,30.929,41.588,23.709,233.0,264.0,279.0,299.0,96.226,R
PER,Red Bull Racing,HARD,17.0,True,30.926,41.749,23.762,228.0,263.0,279.0,298.0,96.437,R
PER,Red Bull Racing,HARD,18.0,True,30.916,41.643,23.754,230.0,263.0,279.0,299.0,96.313,R
PER,Red Bull Racing,HARD,19.0,True,30.843,41.752,23.744,231.0,263.0,279.0,299.0,96.339,R
PER,Red Bull Racing,HARD,20.0,True,30.856,41.671,23.749,233.0,263.0,279.0,300.0,96.276,R
PER,Red Bull Racing,HARD,21.0,True,30.907,41.752,23.905,230.0,264.0,279.0,299.0,96.564,R
PER,Red Bull Racing,HARD,22.0,True,30.84,41.734,23.804,233.0,265.0,279.0,301.0,96.378,R
PER,Red Bull Racing,HARD,23.0,True,30.938,41.91,23.928,231.0,261.0,279.0,299.0,96.776,R
PER,Red Bull Racing,SOFT,2.0,True,30.581,40.931,23.292,233.0,256.0,281.0,295.0,94.804,R
PER,Red Bull Racing,SOFT,3.0,True,30.563,40.893,23.151,233.0,260.0,281.0,294.0,94.607,R
PER,Red Bull Racing,SOFT,4.0,True,30.4,40.772,23.192,234.0,257.0,281.0,297.0,94.364,R
PER,Red Bull Racing,SOFT,5.0,True,30.351,40.884,23.165,239.0,258.0,281.0,301.0,94.4,R
PER,Red Bull Racing,SOFT,6.0,True,30.299,40.985,23.241,238.0,260.0,281.0,301.0,94.525,R
PER,Red Bull Racing,SOFT,7.0,True,30.403,41.148,23.246,236.0,262.0,281.0,301.0,94.797,R
PER,Red Bull Racing,SOFT,8.0,True,30.389,41.028,23.382,235.0,257.0,282.0,298.0,94.799,R
PER,Red Bull Racing,SOFT,9.0,True,30.338,40.986,23.268,234.0,263.0,281.0,298.0,94.592,R
